,conn_id,duration,proto,service,src_bytes,dst_bytes,flag,urgent,land,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,dst_host_serror_rate,dst_host_rerror_rate,contains_dnp3_pckt,tot_dnp3_payload_len,min_payload_len,disable_cold_or_warm_in_conn,func_code_not_supported_count,rttd,
24,1067,41.85836697,tcp,20000,2309,2113,SF,0,0,0,0,0,0,0,0,0,0,0,23,23,1,0,0,0,0,0,0,0,TRUE,846,8,FALSE,0,0.000165307,normal
25,1117,56.91498399,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,24,24,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
26,1176,59.89364004,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,25,25,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
27,1235,18.77613306,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,26,26,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
28,1270,42.83629298,tcp,20000,2309,2113,SF,0,0,0,0,0,0,0,0,0,0,0,27,27,1,0,0,0,0,0,0,0,TRUE,846,8,FALSE,0,0.000165307,normal
29,1320,27.80282307,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,28,28,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
30,1361,3.739984035,tcp,20000,1109,1449,SF,0,0,0,0,0,0,0,0,0,0,0,29,29,1,0,0,0,0,0,0,0,TRUE,678,8,FALSE,0,0.000165307,normal
31,1387,24.80795693,tcp,20000,1709,1781,SF,0,0,0,0,0,0,0,0,0,0,0,30,30,1,0,0,0,0,0,0,0,TRUE,762,8,FALSE,0,0.000165307,normal
32,1425,15.78436399,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,31,31,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
33,1460,50.87132502,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,32,32,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
34,1516,16.79298401,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,33,33,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
35,1551,44.84767294,tcp,20000,2309,2113,SF,0,0,0,0,0,0,0,0,0,0,0,34,34,1,0,0,0,0,0,0,0,TRUE,846,8,FALSE,0,0.000165307,normal
36,1601,40.81780195,tcp,20000,2309,2113,SF,0,0,0,0,0,0,0,0,0,0,0,35,35,1,0,0,0,0,0,0,0,TRUE,846,8,FALSE,0,0.000165307,normal
37,1651,57.89500785,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,36,36,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
38,1710,15.77316499,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,37,37,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
39,1745,39.83031011,tcp,20000,2159,2030,SF,0,0,0,0,0,0,0,0,0,0,0,38,38,1,0,0,0,0,0,0,0,TRUE,825,8,FALSE,0,0.000165307,normal
40,1792,18.78850198,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,39,39,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
41,1827,51.89556694,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,40,40,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
42,1883,26.86371207,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,41,41,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
43,1924,19.76394582,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,42,42,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
44,1959,26.85683084,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,43,43,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
45,2000,52.85257101,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,44,44,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
46,2056,25.80137706,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,45,45,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
47,2097,6.754652977,tcp,20000,1259,1532,SF,0,0,0,0,0,0,0,0,0,0,0,46,46,1,0,0,0,0,0,0,0,TRUE,699,8,FALSE,0,0.000165307,normal
48,2126,50.8728888,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,47,47,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
49,2182,43.87221503,tcp,20000,2309,2113,SF,0,0,0,0,0,0,0,0,0,0,0,48,48,1,0,0,0,0,0,0,0,TRUE,846,8,FALSE,0,0.000165307,normal
50,2232,20.796314,tcp,20000,1709,1781,SF,0,0,0,0,0,0,0,0,0,0,0,49,49,1,0,0,0,0,0,0,0,TRUE,762,8,FALSE,0,0.000165307,normal
51,2270,11.81294203,tcp,20000,1409,1615,SF,0,0,0,0,0,0,0,0,0,0,0,50,50,1,0,0,0,0,0,0,0,TRUE,720,8,FALSE,0,0.000165307,normal
